latitude_bin,longitude_bin,type,subtype,updated_type,updated_subtype,updated_subsubtype,alert_count
41.960000,-87.750000,ROAD_CLOSED,ROAD_CLOSED_EVENT,Road Closed,Event,Unclassified,14837
41.880000,-87.650000,ROAD_CLOSED,ROAD_CLOSED_EVENT,Road Closed,Event,Unclassified,9898
41.830000,-87.640000,ROAD_CLOSED,ROAD_CLOSED_EVENT,Road Closed,Event,Unclassified,5060
41.890000,-87.660000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,4990
41.690000,-87.600000,ROAD_CLOSED,ROAD_CLOSED_EVENT,Road Closed,Event,Unclassified,4961
41.710000,-87.640000,ROAD_CLOSED,ROAD_CLOSED_EVENT,Road Closed,Event,Unclassified,4949
41.890000,-87.660000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,4673
41.870000,-87.650000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,4122
41.870000,-87.650000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,3987
41.900000,-87.670000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,3845
41.880000,-87.650000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,3718
41.830000,-87.640000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,3607
41.890000,-87.660000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,3565
41.870000,-87.650000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,3497
41.960000,-87.750000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,3362
41.880000,-87.650000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,3263
41.940000,-87.720000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,3177
41.960000,-87.760000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,3013
41.650000,-87.590000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2989
41.800000,-87.640000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2936
41.840000,-87.640000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2922
41.970000,-87.770000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,2900
41.960000,-87.760000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,2854
41.960000,-87.750000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2850
41.820000,-87.640000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2795
41.780000,-87.640000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2786
41.930000,-87.710000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,2732
41.860000,-87.650000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2635
41.910000,-87.670000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,2613
41.900000,-87.670000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2603
41.960000,-87.750000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,2574
41.820000,-87.730000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2569
41.920000,-87.690000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,2548
41.950000,-87.740000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,2446
41.970000,-87.780000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,2424
41.960000,-87.760000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2406
41.790000,-87.640000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2395
41.980000,-87.790000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,2357
41.820000,-87.720000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2320
41.730000,-87.630000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2298
41.870000,-87.730000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2274
41.970000,-87.770000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,2262
41.900000,-87.670000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,2236
41.850000,-87.650000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,2222
41.720000,-87.630000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2180
41.940000,-87.720000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,2178
41.950000,-87.740000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,2178
