latitude_bin,longitude_bin,hour,alert_count
41.880000,-87.650000,21:00,1951
41.880000,-87.650000,22:00,1947
41.870000,-87.650000,22:00,1730
41.880000,-87.650000,20:00,1695
41.960000,-87.750000,21:00,1695
41.960000,-87.750000,13:00,1678
41.870000,-87.650000,21:00,1670
41.890000,-87.660000,21:00,1665
41.890000,-87.660000,22:00,1645
41.960000,-87.750000,20:00,1625
41.960000,-87.750000,12:00,1618
41.890000,-87.660000,20:00,1593
41.870000,-87.650000,20:00,1530
41.880000,-87.650000,19:00,1510
41.960000,-87.750000,22:00,1483
41.880000,-87.650000,23:00,1425
41.960000,-87.750000,19:00,1377
41.900000,-87.670000,21:00,1359
41.960000,-87.750000,17:00,1354
41.960000,-87.750000,14:00,1335
41.960000,-87.750000,18:00,1295
41.960000,-87.750000,23:00,1284
41.890000,-87.660000,19:00,1261
41.960000,-87.750000,16:00,1215
41.870000,-87.650000,19:00,1192
41.880000,-87.650000,18:00,1192
41.960000,-87.750000,15:00,1184
41.960000,-87.750000,00:00,1179
41.890000,-87.660000,23:00,1175
41.870000,-87.650000,23:00,1144
41.880000,-87.650000,17:00,1138
41.880000,-87.650000,00:00,1079
41.890000,-87.660000,17:00,1044
41.900000,-87.670000,20:00,1039
41.890000,-87.660000,18:00,1039
41.960000,-87.750000,11:00,1007
41.880000,-87.650000,16:00,996
41.960000,-87.750000,01:00,966
41.880000,-87.650000,01:00,965
41.930000,-87.710000,13:00,951
41.900000,-87.670000,22:00,949
41.870000,-87.650000,18:00,937
41.890000,-87.660000,16:00,911
41.900000,-87.670000,19:00,902
41.890000,-87.660000,00:00,902
41.910000,-87.670000,21:00,887
41.940000,-87.720000,13:00,884
41.910000,-87.670000,22:00,866
41.960000,-87.760000,21:00,863
41.830000,-87.640000,20:00,845
41.830000,-87.640000,19:00,832
41.880000,-87.650000,14:00,828
41.830000,-87.640000,21:00,826
41.930000,-87.710000,21:00,816
41.890000,-87.650000,22:00,815
41.880000,-87.650000,13:00,815
41.840000,-87.640000,20:00,802
41.900000,-87.670000,23:00,799
41.890000,-87.660000,01:00,798
41.880000,-87.650000,15:00,798
41.840000,-87.640000,21:00,793
41.870000,-87.650000,17:00,792
41.860000,-87.650000,21:00,788
41.960000,-87.760000,22:00,778
41.850000,-87.650000,21:00,777
41.880000,-87.650000,04:00,773
41.950000,-87.740000,13:00,772
41.960000,-87.750000,04:00,764
41.860000,-87.650000,22:00,761
41.960000,-87.750000,02:00,756
41.830000,-87.640000,16:00,756
41.960000,-87.760000,19:00,753
41.860000,-87.650000,20:00,751
41.960000,-87.760000,20:00,749
41.880000,-87.650000,12:00,743
41.910000,-87.670000,20:00,742
41.830000,-87.640000,15:00,736
41.880000,-87.650000,03:00,735
41.940000,-87.720000,12:00,732
41.960000,-87.760000,18:00,728
41.890000,-87.650000,21:00,723
41.830000,-87.640000,17:00,722
41.960000,-87.760000,13:00,722
41.960000,-87.750000,05:00,720
41.830000,-87.640000,18:00,719
41.970000,-87.780000,22:00,713
41.880000,-87.650000,02:00,713
41.960000,-87.750000,10:00,711
41.950000,-87.740000,12:00,709
41.960000,-87.750000,09:00,705
41.860000,-87.650000,19:00,702
41.880000,-87.620000,21:00,701
41.850000,-87.650000,20:00,696
41.830000,-87.640000,14:00,696
41.890000,-87.660000,15:00,693
41.960000,-87.750000,08:00,689
41.890000,-87.660000,02:00,688
41.850000,-87.650000,22:00,686
41.830000,-87.640000,13:00,684
41.960000,-87.760000,23:00,683
41.960000,-87.750000,03:00,683
41.840000,-87.640000,22:00,682
41.940000,-87.720000,20:00,680
41.970000,-87.780000,21:00,674
41.850000,-87.650000,19:00,672
41.840000,-87.640000,19:00,668
41.830000,-87.640000,22:00,667
41.920000,-87.690000,22:00,661
41.960000,-87.760000,12:00,659
41.920000,-87.690000,21:00,659
41.940000,-87.720000,21:00,656
41.930000,-87.700000,21:00,656
41.960000,-87.760000,17:00,654
41.920000,-87.690000,20:00,654
41.800000,-87.640000,20:00,652
41.890000,-87.620000,22:00,651
41.880000,-87.620000,22:00,649
41.880000,-87.650000,05:00,646
41.900000,-87.630000,22:00,643
41.950000,-87.740000,21:00,642
41.830000,-87.640000,12:00,640
41.950000,-87.740000,20:00,635
41.960000,-87.760000,14:00,630
41.920000,-87.690000,13:00,629
41.970000,-87.770000,20:00,629
41.960000,-87.750000,06:00,628
41.940000,-87.720000,19:00,627
41.970000,-87.770000,23:00,625
41.900000,-87.630000,21:00,623
41.970000,-87.770000,21:00,622
41.910000,-87.670000,23:00,622
41.890000,-87.650000,20:00,617
41.870000,-87.670000,21:00,616
41.940000,-87.720000,14:00,616
41.970000,-87.770000,22:00,615
41.870000,-87.650000,00:00,613
41.940000,-87.720000,22:00,611
41.970000,-87.780000,20:00,610
41.900000,-87.670000,18:00,608
41.910000,-87.670000,13:00,607
41.860000,-87.650000,23:00,607
41.830000,-87.640000,11:00,604
41.910000,-87.670000,19:00,604
41.870000,-87.650000,16:00,600
41.950000,-87.740000,14:00,600
41.930000,-87.710000,22:00,599
41.940000,-87.720000,17:00,599
41.940000,-87.720000,18:00,598
41.930000,-87.710000,12:00,596
41.960000,-87.760000,15:00,596
41.870000,-87.670000,20:00,594
41.900000,-87.670000,17:00,593
41.920000,-87.690000,12:00,590
41.930000,-87.700000,22:00,589
41.960000,-87.750000,07:00,589
41.980000,-87.790000,23:00,587
41.920000,-87.690000,19:00,587
41.900000,-87.660000,22:00,584
41.970000,-87.780000,23:00,584
41.970000,-87.770000,17:00,582
41.890000,-87.660000,14:00,582
41.890000,-87.660000,03:00,579
41.950000,-87.740000,22:00,579
41.920000,-87.690000,23:00,571
41.970000,-87.750000,21:00,570
41.900000,-87.670000,16:00,569
41.830000,-87.640000,23:00,569
41.870000,-87.650000,13:00,569
41.910000,-87.660000,22:00,567
41.970000,-87.780000,19:00,567
41.940000,-87.720000,16:00,566
41.960000,-87.760000,16:00,566
41.900000,-87.670000,15:00,565
41.930000,-87.700000,13:00,565
41.800000,-87.640000,21:00,563
41.890000,-87.620000,21:00,563
41.930000,-87.710000,20:00,562
41.980000,-87.790000,21:00,561
41.880000,-87.650000,11:00,560
41.970000,-87.770000,19:00,558
41.900000,-87.670000,00:00,556
41.940000,-87.720000,23:00,556
41.970000,-87.770000,18:00,556
41.940000,-87.720000,15:00,555
41.930000,-87.710000,14:00,555
41.980000,-87.790000,22:00,553
41.970000,-87.750000,22:00,552
41.970000,-87.780000,17:00,551
41.930000,-87.700000,20:00,550
41.970000,-87.750000,20:00,548
41.830000,-87.640000,00:00,547
41.870000,-87.650000,01:00,543
41.840000,-87.640000,12:00,539
41.950000,-87.740000,19:00,537
41.840000,-87.640000,13:00,535
41.980000,-87.660000,20:00,535
41.870000,-87.650000,15:00,533
41.920000,-87.680000,21:00,532
41.950000,-87.730000,13:00,531
41.900000,-87.660000,21:00,529
41.970000,-87.780000,18:00,529
41.980000,-87.660000,21:00,526
41.950000,-87.740000,15:00,526
41.930000,-87.700000,12:00,526
41.860000,-87.650000,18:00,525
41.880000,-87.650000,06:00,523
41.980000,-87.790000,20:00,523
41.950000,-87.730000,12:00,521
41.870000,-87.650000,14:00,521
41.910000,-87.660000,21:00,519
41.930000,-87.700000,23:00,518
41.970000,-87.750000,13:00,517
41.980000,-87.790000,17:00,517
41.880000,-87.640000,22:00,516
41.840000,-87.640000,15:00,516
41.890000,-87.620000,20:00,514
41.840000,-87.640000,18:00,513
41.900000,-87.670000,13:00,508
41.970000,-87.770000,15:00,508
41.850000,-87.650000,23:00,507
41.980000,-87.670000,12:00,507
41.970000,-87.780000,15:00,507
41.800000,-87.640000,19:00,505
41.930000,-87.710000,23:00,503
41.840000,-87.650000,21:00,503
41.860000,-87.650000,17:00,501
41.850000,-87.650000,18:00,500
41.970000,-87.750000,12:00,500
41.690000,-87.600000,21:00,499
41.930000,-87.710000,19:00,499
41.980000,-87.790000,19:00,499
41.890000,-87.620000,23:00,499
41.880000,-87.650000,10:00,498
41.690000,-87.600000,18:00,498
41.980000,-87.820000,21:00,498
41.790000,-87.640000,20:00,498
41.850000,-87.650000,17:00,496
41.690000,-87.600000,19:00,496
41.870000,-87.670000,22:00,495
41.920000,-87.710000,21:00,495
41.870000,-87.770000,13:00,494
41.970000,-87.770000,16:00,494
41.920000,-87.690000,14:00,494
41.880000,-87.650000,08:00,493
41.890000,-87.640000,22:00,493
41.870000,-87.680000,20:00,492
41.980000,-87.660000,22:00,491
41.930000,-87.710000,15:00,491
41.980000,-87.790000,18:00,490
41.870000,-87.680000,21:00,490
41.820000,-87.640000,20:00,487
41.890000,-87.650000,23:00,486
41.900000,-87.670000,01:00,486
41.970000,-87.780000,16:00,486
41.820000,-87.640000,19:00,485
41.970000,-87.750000,23:00,485
41.980000,-87.660000,19:00,485
41.920000,-87.680000,22:00,485
41.870000,-87.770000,12:00,485
41.790000,-87.640000,21:00,485
41.890000,-87.650000,19:00,484
41.980000,-87.820000,22:00,483
41.900000,-87.670000,14:00,483
41.950000,-87.740000,23:00,482
41.930000,-87.710000,17:00,481
41.980000,-87.820000,23:00,480
41.880000,-87.620000,23:00,480
41.890000,-87.660000,13:00,479
41.840000,-87.640000,14:00,479
41.930000,-87.700000,17:00,477
41.870000,-87.660000,21:00,477
41.790000,-87.640000,19:00,476
41.830000,-87.700000,20:00,476
41.830000,-87.640000,10:00,474
41.880000,-87.650000,09:00,474
41.690000,-87.600000,20:00,474
41.970000,-87.750000,19:00,471
41.950000,-87.740000,18:00,471
41.930000,-87.710000,18:00,470
41.840000,-87.640000,17:00,469
41.980000,-87.790000,15:00,468
41.690000,-87.600000,17:00,467
41.790000,-87.640000,22:00,466
41.910000,-87.670000,14:00,466
41.970000,-87.770000,14:00,466
41.820000,-87.640000,21:00,465
41.980000,-87.840000,21:00,463
41.900000,-87.630000,20:00,463
41.930000,-87.700000,14:00,462
41.910000,-87.670000,17:00,459
41.900000,-87.630000,23:00,458
41.930000,-87.700000,15:00,457
41.980000,-87.840000,22:00,457
41.870000,-87.650000,03:00,457
41.830000,-87.640000,01:00,457
41.920000,-87.690000,18:00,457
41.920000,-87.690000,17:00,456
41.690000,-87.600000,22:00,456
41.930000,-87.700000,19:00,456
41.870000,-87.620000,21:00,455
41.960000,-87.760000,00:00,454
41.910000,-87.670000,18:00,453
41.870000,-87.660000,22:00,452
41.690000,-87.600000,15:00,452
41.970000,-87.770000,13:00,452
41.870000,-87.660000,20:00,449
41.840000,-87.640000,16:00,448
41.870000,-87.620000,22:00,448
41.780000,-87.640000,20:00,447
41.980000,-87.790000,16:00,447
41.880000,-87.620000,19:00,447
41.970000,-87.750000,14:00,444
41.890000,-87.660000,12:00,443
41.690000,-87.600000,16:00,443
41.970000,-87.750000,15:00,442
41.850000,-87.650000,16:00,440
41.930000,-87.710000,16:00,439
41.800000,-87.640000,22:00,439
41.950000,-87.730000,21:00,438
41.870000,-87.670000,19:00,436
41.690000,-87.600000,10:00,435
41.860000,-87.650000,16:00,435
41.880000,-87.620000,20:00,435
41.780000,-87.640000,22:00,434
41.840000,-87.650000,19:00,433
41.870000,-87.650000,12:00,432
41.880000,-87.650000,07:00,431
41.890000,-87.630000,22:00,430
41.870000,-87.760000,13:00,430
41.910000,-87.670000,16:00,428
41.800000,-87.640000,13:00,426
41.970000,-87.750000,17:00,424
41.950000,-87.740000,16:00,423
41.910000,-87.670000,12:00,423
41.760000,-87.630000,20:00,422
41.930000,-87.720000,13:00,422
41.690000,-87.600000,14:00,422
41.690000,-87.600000,13:00,421
41.830000,-87.680000,21:00,420
41.810000,-87.640000,20:00,420
41.870000,-87.680000,19:00,420
41.840000,-87.640000,23:00,418
41.970000,-87.750000,16:00,418
41.910000,-87.670000,15:00,418
41.840000,-87.650000,20:00,418
41.780000,-87.640000,19:00,417
41.690000,-87.600000,12:00,416
41.850000,-87.650000,12:00,416
41.940000,-87.730000,13:00,415
41.980000,-87.660000,12:00,410
41.950000,-87.730000,22:00,410
41.920000,-87.690000,15:00,409
41.900000,-87.670000,02:00,409
41.760000,-87.630000,19:00,408
41.830000,-87.680000,20:00,407
41.800000,-87.640000,14:00,407
41.810000,-87.750000,19:00,407
41.810000,-87.750000,13:00,406
41.690000,-87.600000,11:00,406
41.930000,-87.700000,18:00,405
41.880000,-87.640000,21:00,405
41.980000,-87.660000,23:00,403
41.940000,-87.710000,13:00,403
41.870000,-87.680000,22:00,402
41.980000,-87.820000,19:00,402
41.970000,-87.750000,18:00,402
41.850000,-87.650000,15:00,402
41.920000,-87.670000,22:00,402
41.840000,-87.650000,22:00,401
41.920000,-87.680000,20:00,401
41.920000,-87.690000,00:00,401
41.960000,-87.760000,11:00,401
41.830000,-87.700000,21:00,401
41.860000,-87.650000,00:00,400
41.910000,-87.680000,21:00,399
41.970000,-87.770000,12:00,398
41.870000,-87.740000,13:00,398
41.920000,-87.690000,16:00,398
41.870000,-87.650000,02:00,398
41.900000,-87.670000,03:00,396
41.690000,-87.600000,23:00,395
41.980000,-87.820000,20:00,395
41.970000,-87.770000,00:00,393
41.780000,-87.640000,21:00,391
41.980000,-87.790000,14:00,390
41.870000,-87.740000,14:00,390
41.830000,-87.680000,19:00,389
41.870000,-87.650000,04:00,389
41.950000,-87.730000,20:00,388
41.820000,-87.730000,17:00,387
41.850000,-87.650000,13:00,386
41.860000,-87.620000,20:00,386
41.830000,-87.640000,03:00,386
41.870000,-87.760000,12:00,386
41.970000,-87.780000,00:00,385
41.820000,-87.730000,20:00,384
41.820000,-87.730000,19:00,384
41.970000,-87.760000,22:00,383
41.870000,-87.770000,14:00,383
41.870000,-87.620000,20:00,383
41.870000,-87.690000,21:00,383
41.830000,-87.640000,02:00,383
41.920000,-87.670000,21:00,381
41.900000,-87.670000,12:00,381
41.940000,-87.730000,12:00,380
41.930000,-87.700000,16:00,379
41.820000,-87.640000,14:00,379
41.910000,-87.660000,20:00,378
41.890000,-87.660000,04:00,378
41.870000,-87.690000,20:00,378
41.760000,-87.630000,21:00,378
41.810000,-87.750000,20:00,378
41.830000,-87.700000,22:00,377
41.910000,-87.670000,00:00,377
41.920000,-87.680000,13:00,377
41.950000,-87.740000,17:00,377
41.900000,-87.630000,19:00,376
41.980000,-87.790000,13:00,376
41.890000,-87.620000,18:00,376
41.870000,-87.770000,11:00,376
41.840000,-87.630000,19:00,375
41.870000,-87.770000,21:00,374
41.690000,-87.600000,00:00,373
41.980000,-87.830000,21:00,373
41.870000,-87.740000,12:00,373
41.980000,-87.800000,23:00,373
41.970000,-87.780000,14:00,373
41.830000,-87.680000,22:00,372
41.800000,-87.640000,18:00,371
41.980000,-87.790000,12:00,371
41.940000,-87.720000,11:00,370
41.980000,-87.790000,00:00,369
41.910000,-87.630000,21:00,369
41.820000,-87.640000,22:00,368
41.800000,-87.640000,12:00,367
41.870000,-87.670000,18:00,367
41.870000,-87.640000,22:00,366
41.980000,-87.800000,20:00,366
41.790000,-87.640000,18:00,366
41.980000,-87.800000,22:00,366
41.850000,-87.650000,14:00,365
41.860000,-87.650000,15:00,365
41.870000,-87.740000,19:00,365
41.980000,-87.750000,22:00,364
41.890000,-87.630000,21:00,363
41.820000,-87.720000,19:00,362
41.810000,-87.750000,12:00,362
41.880000,-87.630000,22:00,361
41.950000,-87.730000,15:00,361
41.830000,-87.700000,19:00,361
41.790000,-87.640000,23:00,360
41.820000,-87.720000,20:00,360
41.880000,-87.630000,21:00,360
41.840000,-87.630000,20:00,359
41.970000,-87.750000,11:00,359
41.870000,-87.680000,18:00,359
41.980000,-87.670000,14:00,358
41.810000,-87.750000,18:00,358
41.820000,-87.730000,16:00,358
41.870000,-87.670000,23:00,358
41.870000,-87.730000,18:00,357
41.980000,-87.830000,22:00,357
41.810000,-87.640000,19:00,357
41.820000,-87.730000,21:00,357
41.980000,-87.810000,21:00,356
41.750000,-87.630000,20:00,355
41.810000,-87.640000,21:00,355
41.970000,-87.780000,13:00,353
41.860000,-87.650000,02:00,353
41.840000,-87.660000,19:00,352
41.870000,-87.630000,21:00,351
41.870000,-87.640000,21:00,351
41.940000,-87.720000,00:00,351
41.770000,-87.630000,20:00,350
41.890000,-87.620000,19:00,350
41.870000,-87.740000,18:00,350
41.860000,-87.620000,21:00,350
41.870000,-87.770000,18:00,348
41.730000,-87.630000,19:00,348
41.920000,-87.680000,19:00,348
41.810000,-87.750000,17:00,348
41.970000,-87.750000,00:00,348
41.850000,-87.650000,00:00,348
41.820000,-87.730000,22:00,347
41.870000,-87.770000,19:00,347
41.950000,-87.730000,14:00,347
41.980000,-87.670000,13:00,347
41.860000,-87.650000,12:00,347
41.890000,-87.620000,17:00,346
41.870000,-87.770000,23:00,346
41.910000,-87.630000,22:00,345
41.870000,-87.770000,20:00,345
41.920000,-87.710000,13:00,345
41.870000,-87.770000,17:00,345
41.870000,-87.770000,22:00,345
41.800000,-87.640000,23:00,344
41.990000,-87.770000,22:00,343
41.690000,-87.600000,01:00,343
41.980000,-87.660000,14:00,343
41.810000,-87.750000,16:00,343
41.870000,-87.760000,14:00,343
41.810000,-87.750000,11:00,342
41.900000,-87.660000,20:00,342
41.810000,-87.750000,15:00,342
41.840000,-87.630000,13:00,342
41.760000,-87.630000,18:00,341
41.980000,-87.750000,21:00,341
41.840000,-87.630000,21:00,340
41.860000,-87.650000,13:00,340
41.870000,-87.730000,20:00,340
41.860000,-87.650000,01:00,339
41.870000,-87.660000,19:00,339
41.830000,-87.640000,04:00,338
41.950000,-87.730000,19:00,338
41.870000,-87.730000,13:00,336
41.930000,-87.710000,00:00,336
41.980000,-87.660000,13:00,336
41.770000,-87.630000,19:00,335
41.920000,-87.680000,23:00,335
41.980000,-87.800000,21:00,334
41.840000,-87.650000,23:00,333
41.870000,-87.690000,22:00,333
41.970000,-87.780000,12:00,333
41.870000,-87.750000,17:00,333
41.820000,-87.730000,18:00,332
